seed,model,group,correct,count,rate
0,3-gram,fault:drop-product-currency-server-occurrence:unseen-size,6,10,0.6
0,3-gram,fault:drop-product-server-occurrence:all,6,14,0.42857142857142855
0,3-gram,fault:drop-product-server-occurrence:seen-size,0,4,0.0
0,3-gram,fault:drop-product-server-occurrence:unseen-size,6,10,0.6
0,3-gram,fault:duplicate-product-currency-server-occurrence:all,6,18,0.3333333333333333
0,3-gram,fault:duplicate-product-currency-server-occurrence:seen-size,0,8,0.0
0,3-gram,fault:duplicate-product-currency-server-occurrence:unseen-size,6,10,0.6
0,3-gram,fault:duplicate-product-server-occurrence:all,6,18,0.3333333333333333
0,3-gram,fault:duplicate-product-server-occurrence:seen-size,0,8,0.0
0,3-gram,fault:duplicate-product-server-occurrence:unseen-size,6,10,0.6
0,3-gram,fault:duplicate-shipping-currency-server-occurrence:all,10,18,0.5555555555555556
0,3-gram,fault:duplicate-shipping-currency-server-occurrence:seen-size,0,8,0.0
0,3-gram,fault:duplicate-shipping-currency-server-occurrence:unseen-size,10,10,1.0
1,adaptive-f3-mcfg,normal-all,14,14,1.0
1,adaptive-f3-mcfg,normal-seen-size,8,8,1.0
1,adaptive-f3-mcfg,normal-unseen-size,6,6,1.0
1,adaptive-f3-mcfg,fault:currency-server-phase-inversion:all,14,14,1.0
1,adaptive-f3-mcfg,fault:currency-server-phase-inversion:seen-size,8,8,1.0
1,adaptive-f3-mcfg,fault:currency-server-phase-inversion:unseen-size,6,6,1.0
1,adaptive-f3-mcfg,fault:drop-product-currency-server-occurrence:all,10,10,1.0
1,adaptive-f3-mcfg,fault:drop-product-currency-server-occurrence:seen-size,4,4,1.0
1,adaptive-f3-mcfg,fault:drop-product-currency-server-occurrence:unseen-size,6,6,1.0
1,adaptive-f3-mcfg,fault:drop-product-server-occurrence:all,10,10,1.0
1,adaptive-f3-mcfg,fault:drop-product-server-occurrence:seen-size,4,4,1.0
1,adaptive-f3-mcfg,fault:drop-product-server-occurrence:unseen-size,6,6,1.0
1,adaptive-f3-mcfg,fault:duplicate-product-currency-server-occurrence:all,14,14,1.0
1,adaptive-f3-mcfg,fault:duplicate-product-currency-server-occurrence:seen-size,8,8,1.0
1,adaptive-f3-mcfg,fault:duplicate-product-currency-server-occurrence:unseen-size,6,6,1.0
1,adaptive-f3-mcfg,fault:duplicate-product-server-occurrence:all,14,14,1.0
1,adaptive-f3-mcfg,fault:duplicate-product-server-occurrence:seen-size,8,8,1.0
1,adaptive-f3-mcfg,fault:duplicate-product-server-occurrence:unseen-size,6,6,1.0
1,adaptive-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:all,14,14,1.0
1,adaptive-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:seen-size,8,8,1.0
1,adaptive-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:unseen-size,6,6,1.0
1,trivial-f3-mcfg,normal-all,14,14,1.0
1,trivial-f3-mcfg,normal-seen-size,8,8,1.0
1,trivial-f3-mcfg,normal-unseen-size,6,6,1.0
1,trivial-f3-mcfg,fault:currency-server-phase-inversion:all,10,14,0.7142857142857143
1,trivial-f3-mcfg,fault:currency-server-phase-inversion:seen-size,4,8,0.5
1,trivial-f3-mcfg,fault:currency-server-phase-inversion:unseen-size,6,6,1.0
